OK;0;Centrale de La Serve;Libellé;Ad API;CE;Astreinte;Histo.;N° page;N° page;N° page;écri.;Automate;Val.API mini;Val. API maxi;Val. fin mini;Val. fin maxi;Unités;Nb  0.00;Lib.inactif;Lib.actif;#
X;273;;Défaut isolement rotor;%M2063;351;def1063|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;274;;Surchauffe transformateur d'excitation;%M2064;352;def1064|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;275;;Défaut électrique moteur ppe à graisse;%M2065;353;def1065|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;276;;Niveau bas bac à graisse;%M2066;354;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;283;;Retour de marche moteur ppe à graisse;%M2073;361;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;290;;Défaut acquisition mesure bac à graisse;%M2080;368;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;291;;Défaut acquisition température huile pivot alternateur;%M2081;369;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;292;;Défaut acquisition température palier inférieur alternateur;%M2082;370;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;293;;Défaut acquisition température palier superieur turbine;%M2083;371;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;294;;Défaut acquisition température palier superieur alternateur;%M2084;372;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;301;;Défaut acquisition courant d'excitation;%M2091;379;def1091|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;302;;Défaut acquisition tension d'excitation;%M2092;380;def1092|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;303;;Défaut acquisition tension réseau;%M2093;381;def1093|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;304;;Niveau bas bac à graisse prolongé;%M2095;383;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;305;;Remplissage bac à graisse;%M2096;384;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;306;;Alarme température huile pivot alternateur;%M2097;385;def1097|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;307;;Alarme température palier inférieur alternateur;%M2098;386;def1098|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;308;;Alarme température palier superieur turbine;%M2099;387;def1099|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;309;;Alarme température palier superieur alternateur;%M2100;388;def1100|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;321;;Défaut Surchauffe température huile pivot alternateur;%M2113;401;def1113|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;322;;Défaut Surchauffe température palier inférieur alternateur;%M2114;402;def1114|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;323;;Défaut Surchauffe température palier superieur turbine;%M2115;403;def1115|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;324;;Défaut Surchauffe température palier superieur alternateur;%M2116;404;def1116|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;330;;Défaut communication Diris groupe;%M2122;410;def1122|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;331;;Défaut contacteur d'excitation;%M2123;411;def1123|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;333;;Défaut mesure de niveau aval grille;%M2125;413;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;334;;Alarme perte de charge grille;%M2126;414;def1126|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;335;;Défaut perte de charge grille;%M2127;415;def1127|groupe2;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;336;;Ordre à distance arrêt;%M2129;417;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;337;;Demande de marche sur débit;%M2130;418;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;338;;Demande d'arrêt sur débit;%M2131;419;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;339;;Défaut détection de fumée turbine;%M2132;420;def2132;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;340;;Disjoncteur BT ouvert;%M2133;421;def119|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;341;;Surintensité disjoncteur BT;%M2134;422;def120|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;342;;Défaut isolement 500V;%M2135;423;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;343;;Défaut isolement auxiliaires;%M2136;424;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;344;;Défaut alimentation 24VDC;%M2137;425;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;345;;Défaut détection de fumée armoires;%M2138;426;def132|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;346;;Fusion fusible interrupteur HT/BT;%M2139;427;def140|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;347;;Interrupteur HT/BT ouvert;%M2140;428;def141|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;348;;Alarme température transformateur HT/BT;%M2141;429;def142|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
